latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
-3.02193,-45.46408,339,0.39,0.59,2019-10-20,03:42,N,nominal,1.0NRT,267.7,2.3,N
-3.38428,-43.25736,307.8,0.54,0.51,2019-10-20,03:42,N,nominal,1.0NRT,290.9,1.2,N
-3.02218,-45.4609,300.4,0.39,0.59,2019-10-20,03:42,N,nominal,1.0NRT,264.7,2.3,N
-3.0216,-45.46442,336,0.39,0.59,2019-10-20,03:42,N,nominal,1.0NRT,267.5,2.3,N
-4.05802,-38.63419,332.7,0.43,0.38,2019-10-20,03:42,N,nominal,1.0NRT,294.6,3.2,N
-4.0574,-38.63805,331.1,0.43,0.38,2019-10-20,03:42,N,nominal,1.0NRT,294.9,4.1,N
-4.05452,-38.63363,316.6,0.43,0.38,2019-10-20,03:42,N,nominal,1.0NRT,294.1,3.2,N
-4.0539,-38.63749,312,0.43,0.38,2019-10-20,03:42,N,nominal,1.0NRT,293.8,4.1,N
-3.68751,-40.73632,325.8,0.55,0.43,2019-10-20,03:42,N,nominal,1.0NRT,293,2.5,N
-3.68897,-40.73505,304.5,0.55,0.43,2019-10-20,03:42,N,nominal,1.0NRT,292.7,1.5,N
-3.68505,-40.73438,320.7,0.55,0.43,2019-10-20,03:42,N,nominal,1.0NRT,293,1.5,N
-1.31642,-47.78756,314.7,0.59,0.7,2019-10-20,03:42,N,nominal,1.0NRT,280.2,2.4,N
-4.26809,-40.86273,307.8,0.55,0.43,2019-10-20,03:42,N,nominal,1.0NRT,291.8,0.9,N
-3.02253,-45.46057,297.5,0.39,0.59,2019-10-20,03:42,N,nominal,1.0NRT,265.5,2.3,N
-3.89027,-43.36775,324.3,0.54,0.51,2019-10-20,03:42,N,nominal,1.0NRT,290.7,2.8,N
-21.9655,-43.28534,301.8,0.44,0.38,2019-10-20,03:48,N,nominal,1.0NRT,286.9,0.7,N
-20.9534,-46.15626,298.6,0.42,0.45,2019-10-20,03:48,N,nominal,1.0NRT,285.2,0.9,N
-20.94922,-46.15539,310.8,0.42,0.45,2019-10-20,03:48,N,nominal,1.0NRT,286,0.9,N
-20.94842,-46.15947,298.8,0.42,0.45,2019-10-20,03:48,N,nominal,1.0NRT,284.9,0.9,N
-20.57391,-45.41605,312.8,0.39,0.44,2019-10-20,03:48,N,nominal,1.0NRT,286.3,1.6,N
-21.0299,-42.8604,295.5,0.43,0.38,2019-10-20,03:48,N,nominal,1.0NRT,284.2,1.1,N
-21.02639,-42.85973,296.9,0.43,0.38,2019-10-20,03:48,N,nominal,1.0NRT,283.9,0.8,N
-20.08889,-47.01219,317,0.49,0.49,2019-10-20,03:48,N,nominal,1.0NRT,282.1,2.2,N
-20.08439,-47.01135,311.3,0.49,0.49,2019-10-20,03:48,N,nominal,1.0NRT,284.1,2.2,N
-20.15157,-44.87639,307.4,0.55,0.43,2019-10-20,03:48,N,nominal,1.0NRT,288.5,1.5,N
-20.14765,-44.87555,306.9,0.55,0.43,2019-10-20,03:48,N,nominal,1.0NRT,288.2,1.5,N
-20.45689,-42.40592,315.8,0.42,0.38,2019-10-20,03:48,N,nominal,1.0NRT,271.4,1.5,N
-20.45619,-42.40999,312,0.42,0.38,2019-10-20,03:48,N,nominal,1.0NRT,268.8,1.6,N
-19.94454,-44.07616,302.5,0.51,0.41,2019-10-20,03:48,N,nominal,1.0NRT,288.9,0.5,N
-19.72506,-44.08862,304.3,0.51,0.41,2019-10-20,03:48,N,nominal,1.0NRT,288.9,1.3,N
-19.72215,-44.08308,303.3,0.51,0.41,2019-10-20,03:48,N,nominal,1.0NRT,288.8,0.9,N
-19.7213,-44.08774,301.7,0.51,0.41,2019-10-20,03:48,N,nominal,1.0NRT,288.9,1,N
-19.72045,-44.09239,302.6,0.51,0.41,2019-10-20,03:48,N,nominal,1.0NRT,288.6,1,N
-19.13895,-43.81145,299.1,0.5,0.41,2019-10-20,03:48,N,nominal,1.0NRT,276.8,2,N
-18.92012,-42.40222,298.9,0.44,0.38,2019-10-20,03:48,N,nominal,1.0NRT,285.7,1.3,N
-18.91661,-42.40149,312.2,0.44,0.38,2019-10-20,03:48,N,nominal,1.0NRT,287.5,1.3,N
-17.63207,-48.29169,301.7,0.33,0.55,2019-10-20,03:48,N,nominal,1.0NRT,282.5,1.4,N
-18.73515,-42.27954,310.6,0.43,0.38,2019-10-20,03:48,N,nominal,1.0NRT,285.3,2,N
-17.09567,-50.60715,328.2,0.48,0.64,2019-10-20,03:48,N,nominal,1.0NRT,279,3.6,N
-17.09471,-50.61155,340.8,0.48,0.64,2019-10-20,03:48,N,nominal,1.0NRT,277.5,3.6,N
-17.08982,-50.6055,299,0.48,0.64,2019-10-20,03:48,N,nominal,1.0NRT,276.7,3.6,N
-17.08885,-50.60991,307.9,0.48,0.64,2019-10-20,03:48,N,nominal,1.0NRT,274,3.6,N
-17.07992,-50.62217,307.9,0.48,0.64,2019-10-20,03:48,N,nominal,1.0NRT,275.5,4.7,N
-17.08094,-50.61755,337.3,0.48,0.64,2019-10-20,03:48,N,nominal,1.0NRT,278.6,4.4,N
-17.09863,-50.61016,300,0.48,0.64,2019-10-20,03:48,N,nominal,1.0NRT,279,5,N
-17.09181,-50.61302,296.2,0.48,0.64,2019-10-20,03:48,N,nominal,1.0NRT,273.9,5,N
-18.26449,-42.55439,329.1,0.45,0.39,2019-10-20,03:48,N,nominal,1.0NRT,289.7,3.2,N
-18.26317,-42.5408,317.2,0.45,0.39,2019-10-20,03:48,N,nominal,1.0NRT,290.2,2.5,N
-18.26243,-42.54504,318.2,0.45,0.39,2019-10-20,03:48,N,nominal,1.0NRT,290.9,2.5,N
-18.26168,-42.54935,303.8,0.45,0.39,2019-10-20,03:48,N,nominal,1.0NRT,289.4,3.2,N
-18.38184,-41.82946,306.4,0.42,0.38,2019-10-20,03:48,N,nominal,1.0NRT,290.1,1.3,N
-18.25886,-42.54437,337.1,0.45,0.39,2019-10-20,03:48,N,nominal,1.0NRT,290.7,5.2,N
-18.25812,-42.54864,341.3,0.45,0.39,2019-10-20,03:48,N,nominal,1.0NRT,290.5,7.2,N
